gen,best_score,mean_score,median_score,std_score,avg_trades,best_trades,best_cagr,best_sharpe,best_sortino,best_pf,best_maxdd,best_calmar,best_expectancy
106,2.4961761753314398,1.6915675698941637,1.9338420208252947,0.7835096629907728,32.38333333333333,44,3.0,5.0,5.0,10.0,0.000800127604698998,3749.4019483661955,281.6788540475036
107,2.496339222266557,1.5228493902594649,1.521149409493178,0.8282216540015286,33.375,47,3.0,5.0,5.0,10.0,0.0006640410660143392,4517.792879898814,256.04206919207974
108,2.496339222266557,1.6772576223305673,1.9587488089943363,0.7955551064135296,39.125,47,3.0,5.0,5.0,10.0,0.0006640410660143392,4517.792879898814,256.04206919207974
109,2.496339222266557,1.6336825504243364,1.8000560026495718,0.859255783841135,35.13333333333333,47,3.0,5.0,5.0,10.0,0.0006640410660143392,4517.792879898814,256.04206919207974
110,2.496339222266557,1.6125268874873093,1.8748714627604173,0.8168323508480503,31.691666666666666,47,3.0,5.0,5.0,10.0,0.0006640410660143392,4517.792879898814,256.04206919207974
111,2.496339222266557,1.680914175180168,1.8971924631826145,0.7733380952880458,32.55,47,3.0,5.0,5.0,10.0,0.0006640410660143392,4517.792879898814,256.04206919207974
112,2.496339222266557,1.6535169256576339,1.834646270438483,0.7920201886172348,37.125,47,3.0,5.0,5.0,10.0,0.0006640410660143392,4517.792879898814,256.04206919207974
113,2.496339222266557,1.695119803802671,2.001408761621852,0.8044966066283038,35.875,47,3.0,5.0,5.0,10.0,0.0006640410660143392,4517.792879898814,256.04206919207974
114,2.496339222266557,1.5900560254692342,1.7311213333139932,0.8106850449626778,31.758333333333333,47,3.0,5.0,5.0,10.0,0.0006640410660143392,4517.792879898814,256.04206919207974
115,2.496339222266557,1.60163349632463,1.6871355649717548,0.811015699215757,33.166666666666664,47,3.0,5.0,5.0,10.0,0.0006640410660143392,4517.792879898814,256.04206919207974
116,2.496339222266557,1.5751164605549457,1.6691448046418826,0.8075924881949302,34.475,47,3.0,5.0,5.0,10.0,0.0006640410660143392,4517.792879898814,256.04206919207974
117,2.496339222266557,1.5676960614083038,1.6684333957647683,0.8207639165514653,31.791666666666668,47,3.0,5.0,5.0,10.0,0.0006640410660143392,4517.792879898814,256.04206919207974
118,2.496339222266557,1.4861380057577833,1.7343838448759912,0.8551927463567149,33.88333333333333,47,3.0,5.0,5.0,10.0,0.0006640410660143392,4517.792879898814,256.04206919207974
119,2.496339222266557,1.6875579662849753,1.986896232573282,0.8020086506112455,38.59166666666667,47,3.0,5.0,5.0,10.0,0.0006640410660143392,4517.792879898814,256.04206919207974
120,2.496339222266557,1.6143196058005553,1.8461662046592162,0.8435280291300303,37.233333333333334,47,3.0,5.0,5.0,10.0,0.0006640410660143392,4517.792879898814,256.04206919207974
121,2.496339222266557,1.5522219630364493,1.8073318599566388,0.8929401597360505,33.65833333333333,47,3.0,5.0,5.0,10.0,0.0006640410660143392,4517.792879898814,256.04206919207974
122,2.496339222266557,1.6709947629232331,1.9279317495807746,0.8207968361035772,37.108333333333334,47,3.0,5.0,5.0,10.0,0.0006640410660143392,4517.792879898814,256.04206919207974
123,2.496339222266557,1.4232473912713977,1.4344259638550834,0.8195115118862273,32.958333333333336,47,3.0,5.0,5.0,10.0,0.0006640410660143392,4517.792879898814,256.04206919207974
124,2.496339222266557,1.4903019558200763,1.5098436853616097,0.8568300593676987,32.15833333333333,47,3.0,5.0,5.0,10.0,0.0006640410660143392,4517.792879898814,256.04206919207974
125,2.496339222266557,1.6185250910149989,1.7679848696010372,0.8028437981833424,34.733333333333334,47,3.0,5.0,5.0,10.0,0.0006640410660143392,4517.792879898814,256.04206919207974
126,2.496339222266557,1.6248554538006028,1.8501402845712263,0.856862794793631,32.608333333333334,47,3.0,5.0,5.0,10.0,0.0006640410660143392,4517.792879898814,256.04206919207974
127,2.49636305334537,1.7223528840946136,1.8995690928374747,0.7446894677293784,39.19166666666667,47,3.0,5.0,5.0,10.0,0.0005845999972382215,5131.714016716828,264.93758265452504
128,2.49636305334537,1.6762062805178748,2.0144999164376705,0.7942811726624738,37.791666666666664,47,3.0,5.0,5.0,10.0,0.0005845999972382215,5131.714016716828,264.93758265452504
129,2.49636305334537,1.5496396049081824,1.7087229496379055,0.8459588202741014,30.425,47,3.0,5.0,5.0,10.0,0.0005845999972382215,5131.714016716828,264.93758265452504
130,2.49636305334537,1.3979435675800649,1.3427511864387471,0.815211383457063,33.2,47,3.0,5.0,5.0,10.0,0.0005845999972382215,5131.714016716828,264.93758265452504
131,2.49636305334537,1.4836918340656562,1.3787994537931016,0.7871362330898675,36.71666666666667,47,3.0,5.0,5.0,10.0,0.0005845999972382215,5131.714016716828,264.93758265452504
132,2.49636305334537,1.538219161638933,1.5831413616038343,0.7629949256185349,37.583333333333336,47,3.0,5.0,5.0,10.0,0.0005845999972382215,5131.714016716828,264.93758265452504
133,2.49636305334537,1.435170979749426,1.5234165735377654,0.8563174213345444,36.125,47,3.0,5.0,5.0,10.0,0.0005845999972382215,5131.714016716828,264.93758265452504
134,2.49636305334537,1.495240455634874,1.5707519636975824,0.8281528734788702,40.733333333333334,47,3.0,5.0,5.0,10.0,0.0005845999972382215,5131.714016716828,264.93758265452504
135,2.49636305334537,1.6663970485517297,1.8737002298199545,0.8408273619625813,37.78333333333333,47,3.0,5.0,5.0,10.0,0.0005845999972382215,5131.714016716828,264.93758265452504
136,2.49636305334537,1.7262272977543665,1.8066068052687023,0.7166902231083878,40.25,47,3.0,5.0,5.0,10.0,0.0005845999972382215,5131.714016716828,264.93758265452504
137,2.49636305334537,1.6888325330206384,1.9513262137089482,0.7755153721030261,33.13333333333333,47,3.0,5.0,5.0,10.0,0.0005845999972382215,5131.714016716828,264.93758265452504
138,2.49636305334537,1.6667088566356332,1.9650745386955868,0.808152725515026,39.5,47,3.0,5.0,5.0,10.0,0.0005845999972382215,5131.714016716828,264.93758265452504
139,2.49636305334537,1.7503664667897667,1.9769642352768784,0.7453932864257781,43.25833333333333,47,3.0,5.0,5.0,10.0,0.0005845999972382215,5131.714016716828,264.93758265452504
140,2.49636305334537,1.6086906494140574,1.7958509728562921,0.8045589334453973,34.925,47,3.0,5.0,5.0,10.0,0.0005845999972382215,5131.714016716828,264.93758265452504
141,2.49636305334537,1.775486707260017,2.0061988756598432,0.7082370386944699,43.40833333333333,47,3.0,5.0,5.0,10.0,0.0005845999972382215,5131.714016716828,264.93758265452504
142,2.49636305334537,1.696981729864779,1.9385643833174575,0.802087544719492,42.791666666666664,47,3.0,5.0,5.0,10.0,0.0005845999972382215,5131.714016716828,264.93758265452504
143,2.49636305334537,1.7104475173014397,2.026642835861197,0.7807626934199512,44.25833333333333,47,3.0,5.0,5.0,10.0,0.0005845999972382215,5131.714016716828,264.93758265452504
144,2.49636305334537,1.6800085572065124,1.8047934350230026,0.7476805064537116,40.43333333333333,47,3.0,5.0,5.0,10.0,0.0005845999972382215,5131.714016716828,264.93758265452504
145,2.49636305334537,1.7975857527046084,2.0549138236601205,0.7370465999134229,39.78333333333333,47,3.0,5.0,5.0,10.0,0.0005845999972382215,5131.714016716828,264.93758265452504
146,2.49636305334537,1.7905652837577448,1.978742220916526,0.6982088891915076,43.516666666666666,47,3.0,5.0,5.0,10.0,0.0005845999972382215,5131.714016716828,264.93758265452504
